site,participants,lat,lon,type
"AIDS RESOURCE CENTER OF WI, INC. - 1397",20,43.040634,-87.912493,Food Pantry
ALIVE MKE INC.,20,43.063146,-87.948334,Food Pantry
ALL PEOPLE'S CHURCH - 1555,20,43.065914,-87.912072,Food Pantry
AMANI COMMUNITY FOOD PANTRY - 2195,20,43.063146,-87.948334,Food Pantry
APOSTOLIC TABERNACLE - 1403,20,43.075442,-87.964884,Food Pantry
ASCENSION LUTHERAN CHURCH-1947,20,43.018503,-87.947116,Food Pantry
Bay View Community Center,20,42.988556,-87.892405,Food Pantry
BETHANY LUTHERAN CHURCH -01250,20,43.057212,-87.961401,Food Pantry
BETHANY LUTHERAN SOUP FOR THE SOUL II 2953,20,43.057212,-87.961401,Food Pantry
BETHANY LUTHERAN/KIDS FOR CHRIST - 2134,20,43.057212,-87.961401,Food Pantry
BETHEL C.M.E CHURCH - 2797,20,43.07883,-87.946219,Food Pantry
BETHEL C.M.E FOOD PANTRY-A1094,20,43.07883,-87.946219,Food Pantry
BETHEL TABERNACLE C.O.G.I.C - 1012,20,43.104342,-87.981302,Food Pantry
BETHEL TABERNACLE C.O.G.I.C - 2021,20,43.104342,-87.981302,Food Pantry
BETHEL TEMPLE C.O.G.I.C. PANTRY - 1249,20,43.06556,-87.916615,Food Pantry
BETHESDA BAPTIST CHURCH - A1296,20,43.071631,-87.937742,Food Pantry
BETHESDA C.O.G.I.C. - 1248,20,43.045005,-87.94948,Food Pantry
BETHESDA COMMUNITY SR CTR PANTRY-1034,20,43.068865,-87.949585,Food Pantry
BLOOD OF THE LAMB - A1187,20,43.077755,-87.961169,Food Pantry
BOUNTIFUL HARVEST CHURCH OF GOD - A1347,20,43.07927,-87.961691,Food Pantry
BRENTWOOD CHURCH OF CHRIST - A1018,20,43.13553,-87.986668,Food Pantry
CAMP GAN - 1341,20,43.19406,-87.896038,Food Pantry
CARTER'S CHRISTIAN ACADEMY - A1163,20,43.113338,-87.956031,Food Pantry
CENTRAL CITY CHURCHES-OUR SAVIOR'S - 1059,20,43.039526,-87.952414,Food Pantry
CHRIST EV. LUTHERAN CHURCH - FOOD - A1129,20,43.016727,-87.942001,Food Pantry
CITY OF FAITH - A1196,20,43.058638,-87.939486,Food Pantry
CITY OF PRAISE MILWAUKEE - A1221,20,43.110117,-87.958483,Food Pantry
CITY ON A HILL -1955,20,43.042434,-87.940477,Food Pantry
COA YOUTH AND FAMILY CENTER - A1408,20,43.075755,-87.941629,Food Pantry
CROSS LUTHERAN CHURCH PANTRY - 1037,20,43.054325,-87.933094,Food Pantry
DESPENSA DE LA PAZ FOOD PANTRY- A1253,20,43.013751,-87.941289,Food Pantry
EASTBROOK CHURCH - FOOD PANTRY - A1367,20,43.090221,-87.923152,Food Pantry
EASTSIDE CHURCH OF CHRIST - 1670,20,43.059971,-87.907482,Food Pantry
EBENEZER CHURCH OF GOD IN CHRIST- A1334,20,43.063146,-87.948334,Food Pantry
EBENEZER STONE MINISTRIES - 1134,20,43.063146,-87.948334,Food Pantry
EL SHADDAI - 1685,20,43.07313,-87.946868,Food Pantry
FAITH SANTA FE LUTHERAN CHURCH PANTRY - A1194,20,43.020834,-87.947364,Food Pantry
FAITH TEMPLE PENTECOSTAL CHURCH - 1374,20,43.05314,-87.943149,Food Pantry
FIRST PENTACOSTAL CHURCH,20,43.012193,-87.936146,Food Pantry
FRIEDENS - Coggs Center Pantry 1042,20,43.048859,-87.927886,Food Pantry
Friedens Community Ministries at Hope House,20,43.015839,-87.912921,Food Pantry
Friedens Community Ministries at Zion Rock,20,43.139767,-88.039463,Food Pantry
GARDEN HOMES LUTHERAN PANTRY- A1207,20,43.095702,-87.943851,Food Pantry
GOD'S HELP FOOD PANTRY - A1184,20,42.987989,-87.896223,Food Pantry
GOOD SAMARITAN C.O.G.I.C. - 1533,20,43.075512,-87.979023,Food Pantry
GOSPEL LUTHERAN FOOD PANTRY - A1355,20,43.063146,-87.948334,Food Pantry
Great Faith Progressive Missionary Baptist Church Food Pantry,20,43.103926,-87.959956,Food Pantry
GREATER GALILEE BAPTIST CHURCH - 2256,20,43.062488,-87.928186,Food Pantry
GREATER NEW BIRTH M.B. CHURCH - 1569,20,43.122431,-87.999212,Food Pantry
HAMPTON AVE CHURCH OF CHRIST - 1958,20,43.104652,-88.066659,Food Pantry
HELPING COMMUNITY FOOD PANTRY- 01076,20,43.063146,-87.948334,Food Pantry
HMONG/AMERICAN FRIENDSHIP PANTRY - 1146,20,43.049007,-87.961597,Food Pantry
HOLY GHOST LUTH. CHURCH FOOD PANTRY - 1255,20,43.041739,-87.952979,Food Pantry
HOPE LUTHERAN CHURCH - 1046,20,43.044889,-87.958077,Food Pantry
HOUSE OF PEACE - 01177,20,43.052979,-87.934539,Food Pantry
HOUSE OF PRAYER HOLY REFORMATION - 1439,20,43.094887,-87.98214,Food Pantry
IGLESIA PENTECOSTAL JEHOVA RAFA - A1410,20,42.988762,-87.958481,Food Pantry
INCARNATION LUTHERAN CHURCH - 1317,20,43.08188,-87.930249,Food Pantry
INTERCHANGE INC.- 1071,20,43.063146,-87.948334,Food Pantry
Jeremiah Missionary Baptist Church Food Pantry,20,43.111628,-87.969722,Food Pantry
JERUSALEM MISSIONARY BAPTIST CHURCH- A1340,20,43.063146,-87.948334,Food Pantry
JEWISH COMMUNITY PANTRY - 1120,20,43.068381,-87.9506,Food Pantry
JEWISH REACH INC. - 1873,20,43.074937,-87.872538,Food Pantry
KING SOLOMON M.B. CHURCH - 1561,20,43.061943,-87.916024,Food Pantry
LAD LAKE INDEPENDENT LIVING SERVICE - A1103,20,43.089011,-87.91301,Food Pantry
LAMB OF GOD MISSIONARY BAPTIST CHURCH - 1473,20,43.162688,-88.015352,Food Pantry
LATTER RAIN DIVINE F.G. MINISTRIES - A1314,20,43.088496,-87.973925,Food Pantry
LIBERTY & TRUTH MINISTRIES - A1215,20,43.099029,-87.988486,Food Pantry
MacCANON BROWN HOMELESS SANCTUARY - B0016,20,43.063146,-87.948334,Food Pantry
