program,partner,streetAddress,city,zip,lat,long,2019partner,2018partner,2017partner,participants
FoodWIse,4C for Children,1736 N. 2nd Street,Milwaukee,53212,43.0534,-87.9123,Y,Y,Y,45
Comm Dev,5WISE Workshop Coworking Space,3524 W National Ave,Milwaukee,53215,43.0219,-87.9586,Y,Y,,125
Urban Agriculture,A Cry for Hope,2710 N 15th St.,Milwaukee,53206,43.0681,-87.9311,,,Y,25
FoodWIse,Academy of Accelerated Learning,3727 S 78th St,Milwaukee,53220,42.9760,-88.0116,,,Y,35
FoodWIse,Acelero Head Start,7833 W Capitol Drive,Milwaukee,53222,43.0896,-88.0103,Y,Y,Y,15
Comm Dev,Adam Carr (88.9 Radio Milwauke& Milwaukee neighborhood News Service),220 E Pittsburgh Ave,Milwaukee,53204,43.0297,-87.9093,Y,Y,Y,105
Urban Agriculture,Adult Day Services of Southeast Wisconsin LLC (ADSSW),344 S. Curtis Road,West Allis,53214,43.0283,-88.0612,Y,Y,Y,75
FoodWIse,AIDS Resource Center Food Pantry,820 Plankinton Ave,Milwaukee,53203,43.0407,-87.9124,Y,Y,,25
4-H,Albert Story School,3815 W Kilbourn Ave,Milwaukee,53207,43.0413,-87.9617,Y,Y,Y,85
4-H,Alice's Garden,2136 N 21st St,Milwaukee,53205,43.0582,-87.9387,,,Y,35
Comm Dev,Alice's Garden,2136 N 21st St,Milwaukee,53205,43.0582,-87.9387,Y,Y,Y,55
Horticulture,Alice's Garden,2136 N 21st St,Milwaukee,53205,43.0582,-87.9387,Y,,,25
Urban Agriculture,Amani United Neighborhood Association,2320 W. Burleigh,Milwaukee,53208,43.0757,-87.9414,,,Y,25
Comm Dev,Amaranth Bakery & Cafe,3329 W Lisbon Ave,Milwaukee,53208,43.0542,-87.9560,Y,Y,Y,25
Health & Well Being,Area Health Education Center,2224 W Kilbourn Ave,Milwaukee,53233,43.0425,-87.9406,,,Y,25
Urban Agriculture,Aromatic Acres Community Farm  (Carly & Joe Ledger),7219 W Locust St,Milwaukee,53210,43.0715,-88.0028,Y,Y,Y,25
FoodWIse,Benedict Center,1849 N. Dr. Martin Luther King Drivet#101,Milwaukee,53212,43.0549,-87.9147,Y,Y,Y,25
Horticulture,Boerner Botanical Gardens (Milwaukee County Parks),9400 Boerner Dr,Hales Corners,53130,42.9436,-88.0465,Y,,,25
Comm Dev,Bradley Tech High School,700 S 4th Street,Milwaukee,53204,43.0237,-87.9147,Y,,,25
4-H,Brown Street Academy,2029 N 20th St.,Milwaukee,53205,43.0573,-87.9383,,,Y,25
4-H,Carson Academy of Science,4920 W Capitol Dr.,Milwaukee,53216,43.0906,-87.9753,,,Y,25
FoodWIse,Centro Hispano Headstart,614 W National Ave,Milwaukee,53204,43.0236,-87.9187,,,Y,65
FoodWIse,Children's Hospital Community Health Plan,6737 W Washington St,West Allis,53214,43.0177,-87.9959,,Y,Y,85
Urban Agriculture,City of Milwaukee Home Gr/own,200 East Wells,Milwaukee,53202,43.0417,-87.9097,Y,Y,Y,25
Urban Agriculture,"City of Milwaukee, Environmental Collaboration Office",200 E Wells St #603,Milwaukee,53202,43.0417,-87.9097,,,Y,25
Urban Agriculture,"City of Milwaukee, Forestry Department",5230 W State St.,Milwaukee,53208,43.0452,-87.9796,,,Y,125
Urban Agriculture,City of Wauwatosa,7725 West North Ave,Wauwatosa,53226,43.0601,-88.0090,Y,Y,Y,25
Comm Dev,City of West Allis Common Council,7525 W Greenfield Ave.,West Allis,53214,43.0162,-88.0066,,Y,Y,25
Comm Dev,City of West Allis Mayor's Office,7525 W Greenfield Ave.,West Allis,53214,43.0162,-88.0066,Y,Y,,95
FoodWIse,City on a Hill,2224 W Kilbourn Ave.,Milwaukee,53233,43.0425,-87.9406,,,Y,55
Urban Agriculture,Clark Square Neighborhood Initiative,2110 W Scott Street,Milwaukee,53206,43.0200,-87.9401,,,Y,25
FoodWIse,COA,909 E. Garfield Ave.,Milwaukee,53212,43.0586,-87.9001,Y,Y,,35
Comm Dev,COA - Goldin Center,2320 W Burleigh St,Milwaukee,53206,43.0757,-87.9414,,,Y,25
Urban Agriculture,COA - Goldin Center,2320 W Burleigh St,Milwaukee,53206,43.0757,-87.9414,,,Y,15
Urban Agriculture,Community Garden School - Riverwest,625 East North Ave,Milwaukee,53212,43.0601,-87.9035,Y,Y,Y,25
