geoID,ageMedianTotal,ageMedianFemale,ageMedianMale,povPercBelow,aidTotal,incomeMedian,langEng,langNonEng,langSpan,disTotal,uninsuredTotal
1400000US55079000101,30.7,32.8,29.4,32.6,801,23917,93,7,5.1,725,110
1400000US55079000102,42.2,48,32.6,22,367,27144,89.4,10.6,2.5,577,111
1400000US55079000201,25.3,31,21.6,39.5,782,22314,78,22,18.4,513,861
1400000US55079000202,35.2,34.2,36.4,13.7,407,32239,91.2,8.8,2.4,893,522
1400000US55079000301,45.7,48,43.1,3.2,11,43045,95.9,4.1,1,111,21
1400000US55079000302,28.2,27.4,28.8,21.9,349,25326,91.6,8.4,3,161,356
1400000US55079000303,31.2,33.7,29.7,15,148,26622,91.8,8.2,5.1,195,229
1400000US55079000304,44.1,45.3,43.1,11.8,165,32668,80.6,19.4,4.3,340,111
1400000US55079000400,27,30,24.5,33.6,357,22508,97.9,2.1,1.3,360,247
1400000US55079000501,32.1,31,34.3,16.9,376,23697,91.8,8.2,7.1,270,194
1400000US55079000502,27.6,27.9,26.1,30.9,619,18529,84.3,15.7,6.7,361,297
1400000US55079000600,31.7,33.4,30.6,33.6,838,23017,84.4,15.6,2.3,632,503
1400000US55079000700,41.3,45.5,39.1,17.2,317,26395,86.7,13.3,5.7,403,326
1400000US55079000800,30.7,28.9,31.5,25.6,352,27671,91.8,8.2,0.5,466,234
1400000US55079000900,28.2,28.3,28,24.7,459,26902,90.4,9.6,7.4,191,341
1400000US55079001000,29.3,33.5,25.5,34.6,586,23750,95,5,0.4,305,179
1400000US55079001100,36.6,47.7,22.9,33.1,296,18371,98.7,1.3,0.9,291,290
1400000US55079001200,24.2,26.2,21.3,42.4,443,18414,83.9,16.1,0.9,283,274
1400000US55079001300,27.9,28.8,27.1,17.3,542,22838,79.4,20.6,2.9,526,509
1400000US55079001400,26.5,27.1,26.2,33.5,310,22500,76.3,23.7,0.5,188,146
1400000US55079001500,28.1,31.7,25.2,35.9,440,17769,74.9,25.1,4,382,335
1400000US55079001600,24.6,29.8,21.8,30.4,360,19063,93.6,6.4,2.1,191,153
1400000US55079001700,28.6,31.9,18.4,21.9,498,24515,85.6,14.4,3.7,528,351
1400000US55079001800,30.7,32,26.6,34.4,363,21287,82.4,17.6,8.4,274,550
1400000US55079001900,31,30.7,33.7,22.2,504,20366,96.8,3.2,0.4,372,141
1400000US55079002000,31,31.6,30.4,25.9,383,18085,95.8,4.2,0.3,279,121
1400000US55079002100,29.2,28.8,30.3,33.4,438,17458,96.5,3.5,2.4,237,143
1400000US55079002200,35.5,44.9,26.3,32.1,156,22428,85.9,14.1,10.6,220,235
1400000US55079002300,37.4,36,37.7,31.5,504,18556,94.7,5.3,3.9,496,407
1400000US55079002400,31,31.6,29.4,36.9,346,17946,90.9,9.1,4.9,229,321
1400000US55079002500,33.3,37.4,28.2,27.4,343,24899,92.2,7.8,3.1,272,107
1400000US55079002600,28.1,34.3,19.5,32.5,328,18450,100,0,0,221,256
1400000US55079002700,32.9,32.2,36.1,41.7,241,19967,90.8,9.2,1,217,165
1400000US55079002800,28,28.8,24.4,32.3,361,18322,98.7,1.3,0,345,186
1400000US55079002900,23,28.2,17.8,38.6,359,21732,92.1,7.9,6,185,105
